event_id,timestamp,user_id,username,src_ip,dest_ip,country,event_type,status,severity,device_type,bytes_in,bytes_out,login_method,is_internal_ip
1,2025-01-08 19:15:13,253,user49,10.169.48.11,10.14.133.78,IN,vpn_login,success,Low,mobile,304,6929,mfa,True
2,2025-01-08 12:06:33,80,user439,60.119.2.122,10.239.19.113,UK,login_success,success,Medium,desktop,3503,1642,mfa,False
3,2025-01-20 00:36:27,182,user251,10.170.207.7,10.219.160.4,CN,login_failure,failed,Medium,server,1818,11655,sso,True
4,2025-01-14 10:45:10,170,user191,10.164.223.108,10.124.3.67,AU,malware_alert,blocked,Critical,server,7183,726,mfa,True
5,2025-01-19 19:36:37,381,user443,178.138.119.192,10.222.166.202,UK,vpn_login,success,Low,server,0,7321,mfa,False
6,2025-01-10 14:12:38,172,user433,10.210.243.226,10.160.206.134,IN,malware_alert,blocked,Medium,mobile,0,10274,sso,True
7,2025-01-05 22:30:10,146,user340,71.104.49.42,10.149.155.79,UK,vpn_login,success,Low,mobile,11069,3392,password,False
8,2025-01-12 21:10:31,430,user347,10.151.107.100,10.175.97.176,CN,login_success,success,Low,server,3729,5823,mfa,True
9,2025-01-17 19:16:34,97,user408,102.152.92.189,10.214.84.48,BR,policy_violation,blocked,Medium,laptop,12194,12073,mfa,False
10,2025-01-11 15:47:04,139,user295,99.230.193.214,10.11.105.238,RU,malware_alert,blocked,Medium,desktop,4631,14586,sso,False
11,2025-01-07 15:08:31,473,user267,218.97.25.181,10.23.207.103,CN,file_access,success,Low,mobile,0,0,mfa,False
12,2025-01-08 03:03:20,187,user203,10.254.175.196,10.110.85.83,RU,login_failure,failed,Low,server,0,0,password,True
13,2025-01-16 06:40:48,390,user464,10.209.79.88,10.232.198.157,UK,login_success,success,Low,mobile,0,11524,sso,True
14,2025-01-12 18:08:25,406,user280,153.41.76.183,10.45.196.77,IN,policy_violation,blocked,Medium,server,527,17447,sso,False
15,2025-01-30 23:00:40,164,user335,10.70.230.98,10.136.178.240,DE,login_success,success,Low,server,6101,1352,sso,True
16,2025-01-09 16:13:49,60,user109,10.24.66.249,10.21.10.182,CA,malware_alert,blocked,Medium,server,1710,0,password,True
17,2025-01-13 12:55:07,370,user240,164.82.218.248,10.177.255.155,AU,login_success,success,Low,laptop,0,0,mfa,False
18,2025-01-16 05:44:55,53,user367,10.111.161.211,10.239.225.79,UK,login_success,success,Low,server,0,7928,password,True
19,2025-01-26 19:51:36,353,user124,10.33.77.137,10.111.100.205,IN,login_failure,failed,Low,desktop,0,18407,sso,True
20,2025-01-11 12:07:01,110,user34,48.1.209.64,10.214.67.214,DE,policy_violation,blocked,Medium,mobile,5621,3946,mfa,False
21,2025-01-04 10:18:08,499,user380,10.254.107.186,10.122.164.137,SG,file_access,success,Low,desktop,0,6248,sso,True
22,2025-01-13 06:17:03,133,user1,10.237.155.172,10.7.75.138,US,policy_violation,blocked,High,server,0,0,mfa,True
23,2025-01-21 21:23:55,360,user483,10.209.202.222,10.154.166.144,CA,vpn_login,success,Low,desktop,6090,0,sso,True
24,2025-01-09 23:06:41,106,user48,191.168.173.178,10.174.212.188,RU,malware_alert,blocked,High,mobile,0,5901,sso,False
25,2025-01-09 10:51:08,312,user27,10.149.196.41,10.10.72.240,US,vpn_login,success,Low,laptop,2564,0,mfa,True
26,2025-01-29 11:34:34,82,user89,10.175.167.197,10.1.155.30,CN,file_access,success,Low,laptop,482,8781,sso,True
27,2025-01-22 08:11:15,412,user75,10.124.7.150,10.56.236.126,BR,vpn_login,success,Low,mobile,6043,3434,mfa,True
28,2025-01-24 04:58:45,454,user452,10.16.23.233,10.190.71.98,AU,file_access,success,Medium,mobile,9007,14617,password,True
29,2025-01-09 02:59:07,118,user237,10.84.33.56,10.166.209.176,UK,file_access,success,Low,mobile,0,0,password,True
30,2025-01-09 17:42:16,355,user5,10.32.100.113,10.97.168.159,US,vpn_login,success,Low,mobile,4054,0,sso,True
31,2025-01-08 18:18:58,174,user87,10.255.170.5,10.114.124.82,UK,vpn_login,success,Low,laptop,941,0,password,True
32,2025-01-28 18:57:34,295,user416,167.156.31.132,10.215.75.227,AU,vpn_login,success,Low,mobile,0,0,mfa,False
33,2025-01-26 15:07:55,107,user48,109.67.53.231,10.25.232.199,IN,file_access,success,Medium,mobile,487,0,sso,False
34,2025-01-01 18:57:01,208,user206,10.54.173.80,10.103.227.198,CN,file_access,success,Low,server,2842,0,password,True
35,2025-01-18 16:43:21,319,user3,161.3.33.159,10.148.251.181,US,login_failure,failed,Low,server,5020,0,mfa,False
36,2025-01-24 17:22:04,156,user376,10.12.142.162,10.16.52.84,RU,login_failure,failed,Low,server,2029,0,password,True
37,2025-01-14 09:52:11,440,user168,112.179.80.241,10.154.4.19,BR,policy_violation,blocked,High,desktop,0,0,sso,False
38,2025-01-29 18:30:32,399,user335,126.251.251.246,10.178.56.236,RU,policy_violation,blocked,Medium,desktop,6336,2740,mfa,False
39,2025-01-16 23:20:38,23,user468,10.167.16.186,10.252.37.7,US,login_success,success,Low,server,6064,4789,mfa,True
40,2025-01-25 09:12:13,127,user140,177.98.87.202,10.101.184.150,RU,policy_violation,blocked,Medium,desktop,6955,8528,mfa,False
41,2025-01-26 00:31:25,446,user108,165.147.188.206,10.139.245.72,IN,login_success,success,Low,laptop,5525,3023,password,False
42,2025-01-24 10:29:33,338,user147,10.240.252.84,10.163.102.114,IN,login_success,success,Medium,server,0,0,password,True
43,2025-01-25 02:44:37,296,user481,10.5.178.64,10.203.207.217,US,policy_violation,blocked,High,server,0,0,mfa,True
44,2025-01-29 08:03:06,198,user190,10.166.192.9,10.49.127.108,IN,login_success,success,Low,mobile,5016,23162,mfa,True
45,2025-01-17 07:44:29,443,user1,10.81.173.32,10.154.122.72,BR,vpn_login,success,Low,desktop,2676,0,sso,True
46,2025-01-12 12:47:11,173,user496,10.129.127.108,10.146.242.242,IN,malware_alert,blocked,High,laptop,10088,6628,sso,True
47,2025-01-27 03:32:15,297,user394,10.43.78.30,10.202.233.253,BR,vpn_login,success,Low,desktop,452,3941,password,True
48,2025-01-30 06:31:38,434,user325,10.145.131.136,10.103.173.181,IN,malware_alert,blocked,High,mobile,6463,0,mfa,True
49,2025-01-02 20:56:37,360,user291,49.67.226.132,10.223.49.96,AU,login_failure,failed,Low,server,0,11962,password,False
50,2025-01-29 06:51:31,67,user103,10.82.175.23,10.85.127.85,RU,malware_alert,blocked,High,mobile,4140,13875,sso,True
51,2025-01-02 16:31:01,332,user252,10.241.100.195,10.62.58.85,CA,policy_violation,blocked,Medium,server,9242,16060,password,True
52,2025-01-11 01:24:26,380,user63,131.71.31.63,10.212.23.194,DE,malware_alert,blocked,High,server,6629,6080,mfa,False
53,2025-01-08 13:59:14,440,user342,132.27.204.150,10.197.94.24,UK,file_access,success,Low,laptop,0,3367,mfa,False
54,2025-01-14 05:22:17,410,user23,127.43.245.218,10.118.76.168,AU,login_failure,failed,Low,mobile,4693,11207,sso,False
55,2025-01-18 04:47:22,425,user227,10.255.87.245,10.253.237.54,UK,file_access,success,Low,desktop,0,0,sso,True
56,2025-01-21 23:46:37,412,user486,72.12.222.32,10.104.116.195,DE,file_access,success,Medium,mobile,5079,0,sso,False
57,2025-01-22 16:07:59,226,user427,10.172.175.162,10.215.126.6,RU,malware_alert,blocked,Critical,desktop,0,4432,password,True
58,2025-01-28 20:17:18,149,user297,223.51.156.44,10.156.172.152,BR,login_failure,failed,Medium,laptop,1806,838,password,False
